"Mês";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO";"CENTRO.DE.CUSTO";"RUBRICA"
7;"2022-07-20";"2022-07-20";"SP-50076845506 ENDESA ENERGIA";-10,54;10567,06;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
7;"2022-07-24";"2022-07-24";"COMPRA   TIGER PORTUGAL, SA";-12;10555,06;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
7;"2022-07-25";"2022-07-25";"COMPRA   SECURITAS DIRECT";-213,4;10341,66;"INSTALAÇÕES";"EQUIPAMENTOS"
7;"2022-07-26";"2022-07-26";"COMPRA   LEROY MERLIN SINTRA";-57,33;10284,33;"INSTALAÇÕES";"JARDIM"
7;"2022-07-26";"2022-07-26";"COMPRA   LEROY MERLIN SINTRA";-67,14;10217,19;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
7;"2022-07-26";"2022-07-26";"COMPRA   LEROY MERLIN SINTRA";-30;10187,19;"INSTALAÇÕES";"EQUIPAMENTOS"
7;"2022-07-26";"2022-07-26";"LEV.ATM    3503";-200;9987,19;"INSTALAÇÕES";"JARDIM"
7;"2022-07-26";"2022-07-26";"LEV.ATM    3503";-190;9797,19;"INSTALAÇÕES";"JARDIM"
7;"2022-07-27";"2022-07-27";"SP-96611566046 Servicos Munici";-19,56;9777,63;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
8;"2022-08-01";"2022-08-01";"SP-00026322892 SECURITAS DIREC";-52,31;9725,32;"INSTALAÇÕES";"SECURITAS - ALARME"
8;"2022-08-01";"2022-08-01";"COMPRA   BERTRAND LISBOA";-19,2;9706,12;"ATIVIDADES DIVERSAS";"COMPRAS"
8;"2022-08-04";"2022-08-04";"COMPRA   A OUTRA FACE DA LUA";-24;9682,12;"TEATRO UNIÃO";"GUARDA ROUPA"
8;"2022-08-05";"2022-08-05";"SP-10367661    MAFEP MATERIAL";-29,52;9652,6;"INSTALAÇÕES";"ALUGUER EXTINTORES"
8;"2022-08-05";"2022-08-05";"SP-00531446107 VODAFONE PORTUG";-53,71;9598,89;"INSTALAÇÕES";"COMUNICAÇÕES"
8;"2022-08-05";"2022-08-05";"TR-IPS-BDLS HSP, UNIPESSOAL LD";1000;10598,89;"INSTALAÇÕES";"RENDA"
8;"2022-08-11";"2022-08-11";"SP-00026322892 SECURITAS DIREC";-3,69;10595,2;"INSTALAÇÕES";"SECURITAS - ALARME"
8;"2022-08-13";"2022-08-13";"SOLUÇÃO ESOCIAL";-4;10591,2;"INSTALAÇÕES";"DESP. BANCÁRIAS"
8;"2022-08-13";"2022-08-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10591,04;"INSTALAÇÕES";"DESP. BANCÁRIAS"
8;"2022-08-14";"2022-08-14";"COMPRA   LEROY MERLIN";-86,27;10504,77;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
8;"2022-08-18";"2022-08-18";"SP-20000453514 FIDELIDADE COMP";-219,14;10285,63;"INSTALAÇÕES";"SEGUROS"
8;"2022-08-18";"2022-08-18";"PAG.SERV. 11604 733826662";-49,91;10235,72;"INSTALAÇÕES";"EQUIPAMENTOS"
8;"2022-08-19";"2022-08-19";"SP-50076845118 ENDESA ENERGIA";-49,22;10186,5;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
8;"2022-08-19";"2022-08-19";"SP-50076845506 ENDESA ENERGIA";-10,57;10175,93;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
8;"2022-08-22";"2022-08-22";"COMPRA   MAXMAT AMADORA";-96,8;10079,13;"INSTALAÇÕES";"JARDIM"
8;"2022-08-22";"2022-08-22";"COMPRA   LEROY MERLIN SINTRA";-17,16;10061,97;"INSTALAÇÕES";"JARDIM"
8;"2022-08-29";"2022-08-29";"SP-96611566046 Servicos Munici";-28,6;10033,37;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
8;"2022-08-29";"2022-08-29";"COMPRA   FORUM CHINA";-13,56;10019,81;"TEATRO UNIÃO";"GUARDA ROUPA"
8;"2022-08-29";"2022-08-29";"COMPRA   HIPER CHINA";-22,3;9997,51;"TEATRO UNIÃO";"GUARDA ROUPA"
9;"2022-09-01";"2022-09-01";"SP-00026322892 SECURITAS DIREC";-56;9941,51;"INSTALAÇÕES";"SECURITAS - ALARME"
9;"2022-09-03";"2022-09-03";"COMPRA   LEROY MERLIN SINTRA";-22,45;9919,06;"INSTALAÇÕES";"JARDIM"
9;"2022-09-05";"2022-09-05";"COMPRA   KEBABISH";-23,89;9895,17;"ATIVIDADES DIVERSAS";"ENCARGOS COM COLABORADORES"
9;"2022-09-07";"2022-09-07";"SP-10367661    MAFEP MATERIAL";-29,52;9865,65;"INSTALAÇÕES";"ALUGUER EXTINTORES"
9;"2022-09-07";"2022-09-07";"SP-00531446107 VODAFONE PORTUG";-53,71;9811,94;"INSTALAÇÕES";"COMUNICAÇÕES"
9;"2022-09-08";"2022-09-08";"TR-IPS-BDLS HSP UNIPESSOAL LD";750;10561,94;"INSTALAÇÕES";"RENDA"
9;"2022-09-12";"2022-09-12";"COMPRA   LEROY MERLIN";-31,85;10530,09;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
9;"2022-09-12";"2022-09-12";"COMPRA   LEROY MERLIN SINTRA";-32,4;10497,69;"INSTALAÇÕES";"EQUIPAMENTOS"
9;"2022-09-12";"2022-09-12";"COMPRA   LEROY MERLIN SINTRA";-19,89;10477,8;"INSTALAÇÕES";"JARDIM"
9;"2022-09-13";"2022-09-13";"SOLUÇÃO ESOCIAL";-4;10473,8;"INSTALAÇÕES";"DESP. BANCÁRIAS"
